ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,484,16452,378,0,0,0,0,0,0,0,0,0,0,0
1,129,468,16470,236,0,0,0,0,0,0,0,0,0,0,0
2,129,418,16406,412,0,0,0,0,0,0,0,0,0,0,0
3,129,474,16482,312,0,0,0,0,0,0,0,0,0,0,0
4,129,444,16386,322,0,0,0,0,0,0,0,0,0,0,0
5,129,448,16550,380,0,0,0,0,0,0,0,0,0,0,0
6,129,490,16490,330,0,0,0,0,0,0,0,0,0,0,0
7,129,528,16392,280,0,0,0,0,0,0,0,0,0,0,0
8,129,506,16522,404,0,0,0,0,0,0,0,0,0,0,0
9,129,456,16454,282,0,0,0,0,0,0,0,0,0,0,0
10,129,472,16436,402,0,0,0,0,0,0,0,0,0,0,0
11,129,408,16450,232,0,0,0,0,0,0,0,0,0,0,0
12,129,504,16504,272,0,0,0,0,0,0,0,0,0,0,0
13,129,440,16426,210,0,0,0,0,0,0,0,0,0,0,0
14,129,514,16466,228,0,0,0,0,0,0,0,0,0,0,0
15,129,476,16456,258,0,0,0,0,0,0,0,0,0,0,0
16,129,508,16418,294,0,0,0,0,0,0,0,0,0,0,0
17,129,486,16450,202,0,0,0,0,0,0,0,0,0,0,0
18,129,434,16462,282,0,0,0,0,0,0,0,0,0,0,0
19,129,408,16464,288,0,0,0,0,0,0,0,0,0,0,0
20,129,454,16392,316,0,0,0,0,0,0,0,0,0,0,0
21,129,438,16452,144,0,0,0,0,0,0,0,0,0,0,0
22,129,448,16474,226,0,0,0,0,0,0,0,0,0,0,0
23,129,544,16458,150,0,0,0,0,0,0,0,0,0,0,0
24,129,386,16418,298,0,0,0,0,0,0,0,0,0,0,0
25,129,482,16532,202,0,0,0,0,0,0,0,0,0,0,0
26,129,448,16468,292,0,0,0,0,0,0,0,0,0,0,0
27,129,486,16438,250,0,0,0,0,0,0,0,0,0,0,0
28,129,482,16432,310,0,0,0,0,0,0,0,0,0,0,0
29,129,396,16578,320,0,0,0,0,0,0,0,0,0,0,0
30,129,470,16374,108,0,0,0,0,0,0,0,0,0,0,0
31,129,444,16488,286,0,0,0,0,0,0,0,0,0,0,0
32,129,478,16556,292,0,0,0,0,0,0,0,0,0,0,0
33,129,540,16402,194,0,0,0,0,0,0,0,0,0,0,0
34,129,416,16536,322,0,0,0,0,0,0,0,0,0,0,0
35,129,464,16446,188,0,0,0,0,0,0,0,0,0,0,0
36,129,462,16482,288,0,0,0,0,0,0,0,0,0,0,0
37,129,478,16440,232,0,0,0,0,0,0,0,0,0,0,0
38,129,436,16460,224,0,0,0,0,0,0,0,0,0,0,0
39,129,430,16434,94,0,0,0,0,0,0,0,0,0,0,0
40,129,442,16360,380,0,0,0,0,0,0,0,0,0,0,0
41,129,442,16448,134,0,0,0,0,0,0,0,0,0,0,0
42,129,418,16388,272,0,0,0,0,0,0,0,0,0,0,0
43,129,440,16392,254,0,0,0,0,0,0,0,0,0,0,0
44,129,484,16492,238,0,0,0,0,0,0,0,0,0,0,0
45,129,470,16456,268,0,0,0,0,0,0,0,0,0,0,0
46,129,472,16486,248,0,0,0,0,0,0,0,0,0,0,0
47,129,460,16514,266,0,0,0,0,0,0,0,0,0,0,0
48,129,426,16466,236,0,0,0,0,0,0,0,0,0,0,0
49,129,466,16440,194,0,0,0,0,0,0,0,0,0,0,0
50,129,460,16452,312,0,0,0,0,0,0,0,0,0,0,0
51,129,440,16514,254,0,0,0,0,0,0,0,0,0,0,0
52,129,454,16368,302,0,0,0,0,0,0,0,0,0,0,0
53,129,506,16570,234,0,0,0,0,0,0,0,0,0,0,0
54,129,446,16556,198,0,0,0,0,0,0,0,0,0,0,0
55,129,488,16454,308,0,0,0,0,0,0,0,0,0,0,0
56,129,444,16538,180,0,0,0,0,0,0,0,0,0,0,0
57,129,454,16376,228,0,0,0,0,0,0,0,0,0,0,0
58,129,410,16408,310,0,0,0,0,0,0,0,0,0,0,0
59,129,426,16414,118,0,0,0,0,0,0,0,0,0,0,0
60,129,480,16496,182,0,0,0,0,0,0,0,0,0,0,0
61,129,546,16494,92,0,0,0,0,0,0,0,0,0,0,0
62,129,452,16524,178,0,0,0,0,0,0,0,0,0,0,0
63,129,454,16462,216,0,0,0,0,0,0,0,0,0,0,0
64,129,416,16462,154,0,0,0,0,0,0,0,0,0,0,0
65,129,454,16438,220,0,0,0,0,0,0,0,0,0,0,0
66,129,502,16440,188,0,0,0,0,0,0,0,0,0,0,0
67,129,492,16436,166,0,0,0,0,0,0,0,0,0,0,0
68,129,452,16452,60,0,0,0,0,0,0,0,0,0,0,0
69,129,430,16412,164,0,0,0,0,0,0,0,0,0,0,0
70,129,480,16462,262,0,0,0,0,0,0,0,0,0,0,0
71,129,474,16386,162,0,0,0,0,0,0,0,0,0,0,0
72,129,482,16448,174,0,0,0,0,0,0,0,0,0,0,0
73,129,512,16494,174,0,0,0,0,0,0,0,0,0,0,0
74,129,456,16486,204,0,0,0,0,0,0,0,0,0,0,0
75,129,394,16492,166,0,0,0,0,0,0,0,0,0,0,0
76,129,376,16500,246,0,0,0,0,0,0,0,0,0,0,0
77,129,500,16502,158,0,0,0,0,0,0,0,0,0,0,0
78,129,396,16498,150,0,0,0,0,0,0,0,0,0,0,0
79,129,452,16448,110,0,0,0,0,0,0,0,0,0,0,0
80,129,468,16460,290,0,0,0,0,0,0,0,0,0,0,0
81,129,414,16542,150,0,0,0,0,0,0,0,0,0,0,0
82,129,422,16536,96,0,0,0,0,0,0,0,0,0,0,0
83,129,440,16496,66,0,0,0,0,0,0,0,0,0,0,0
84,129,512,16518,88,0,0,0,0,0,0,0,0,0,0,0
85,129,450,16494,16,0,0,0,0,0,0,0,0,0,0,0
86,129,518,16574,120,0,0,0,0,0,0,0,0,0,0,0
87,129,474,16408,138,0,0,0,0,0,0,0,0,0,0,0
88,129,398,16428,84,0,0,0,0,0,0,0,0,0,0,0
89,129,468,16474,96,0,0,0,0,0,0,0,0,0,0,0
90,129,474,16508,110,0,0,0,0,0,0,0,0,0,0,0
91,129,522,16516,122,0,0,0,0,0,0,0,0,0,0,0
92,129,454,16412,54,0,0,0,0,0,0,0,0,0,0,0
93,129,436,16506,18,0,0,0,0,0,0,0,0,0,0,0
94,129,546,16542,126,0,0,0,0,0,0,0,0,0,0,0
95,129,482,16504,130,0,0,0,0,0,0,0,0,0,0,0
96,129,548,16480,222,0,0,0,0,0,0,0,0,0,0,0
97,129,486,16432,112,0,0,0,0,0,0,0,0,0,0,0
98,129,470,16486,288,0,0,0,0,0,0,0,0,0,0,0
99,129,532,16488,62,0,0,0,0,0,0,0,0,0,0,0
100,129,406,16438,164,0,0,0,0,0,0,0,0,0,0,0
101,129,516,16456,126,0,0,0,0,0,0,0,0,0,0,0
102,129,468,16396,252,0,0,0,0,0,0,0,0,0,0,0
103,129,480,16474,152,0,0,0,0,0,0,0,0,0,0,0
104,129,410,16488,168,0,0,0,0,0,0,0,0,0,0,0
105,129,506,16458,66,0,0,0,0,0,0,0,0,0,0,0
106,129,500,16522,152,0,0,0,0,0,0,0,0,0,0,0
107,129,498,16466,180,0,0,0,0,0,0,0,0,0,0,0
108,129,496,16500,266,0,0,0,0,0,0,0,0,0,0,0
109,129,406,16452,26,0,0,0,0,0,0,0,0,0,0,0
110,129,572,16606,98,0,0,0,0,0,0,0,0,0,0,0
111,129,558,16580,64,0,0,0,0,0,0,0,0,0,0,0
112,129,536,16482,130,0,0,0,0,0,0,0,0,0,0,0
113,129,476,16392,90,0,0,0,0,0,0,0,0,0,0,0
114,129,482,16424,264,0,0,0,0,0,0,0,0,0,0,0
115,129,466,16482,84,0,0,0,0,0,0,0,0,0,0,0
116,129,516,16530,162,0,0,0,0,0,0,0,0,0,0,0
117,129,520,16394,180,0,0,0,0,0,0,0,0,0,0,0
118,129,500,16390,64,0,0,0,0,0,0,0,0,0,0,0
119,129,462,16402,110,0,0,0,0,0,0,0,0,0,0,0
120,129,556,16470,202,0,0,0,0,0,0,0,0,0,0,0
121,129,500,16446,2,0,0,0,0,0,0,0,0,0,0,0
122,129,554,16484,132,0,0,0,0,0,0,0,0,0,0,0
123,129,548,16432,84,0,0,0,0,0,0,0,0,0,0,0
124,129,516,16438,222,0,0,0,0,0,0,0,0,0,0,0
125,129,538,16498,-10,0,0,0,0,0,0,0,0,0,0,0
126,129,542,16490,86,0,0,0,0,0,0,0,0,0,0,0
127,129,556,16478,18,0,0,0,0,0,0,0,0,0,0,0
128,129,598,16504,-54,0,0,0,0,0,0,0,0,0,0,0
129,129,564,16508,-74,0,0,0,0,0,0,0,0,0,0,0
130,129,524,16520,136,0,0,0,0,0,0,0,0,0,0,0
131,129,612,16534,-30,0,0,0,0,0,0,0,0,0,0,0
132,129,480,16422,-44,0,0,0,0,0,0,0,0,0,0,0
133,129,500,16432,96,0,0,0,0,0,0,0,0,0,0,0
134,129,564,16502,116,0,0,0,0,0,0,0,0,0,0,0
135,129,562,16410,12,0,0,0,0,0,0,0,0,0,0,0
136,129,560,16506,64,0,0,0,0,0,0,0,0,0,0,0
137,129,546,16372,66,0,0,0,0,0,0,0,0,0,0,0
138,129,480,16494,72,0,0,0,0,0,0,0,0,0,0,0
139,129,578,16506,6,0,0,0,0,0,0,0,0,0,0,0
140,129,476,16442,174,0,0,0,0,0,0,0,0,0,0,0
141,129,510,16440,42,0,0,0,0,0,0,0,0,0,0,0
142,129,536,16408,42,0,0,0,0,0,0,0,0,0,0,0
143,129,630,16444,10,0,0,0,0,0,0,0,0,0,0,0
144,129,608,16508,0,0,0,0,0,0,0,0,0,0,0,0
145,129,1008,16812,-270,0,0,0,0,0,0,0,0,0,0,0
146,129,718,16484,20,0,0,0,0,0,0,0,0,0,0,0
147,129,692,16540,64,0,0,0,0,0,0,0,0,0,0,0
148,129,660,16508,4,0,0,0,0,0,0,0,0,0,0,0
149,129,670,16538,152,0,0,0,0,0,0,0,0,0,0,0
150,129,606,16414,116,0,0,0,0,0,0,0,0,0,0,0
151,129,558,16514,58,0,0,0,0,0,0,0,0,0,0,0
152,129,552,16386,130,0,0,0,0,0,0,0,0,0,0,0
153,129,584,16406,40,0,0,0,0,0,0,0,0,0,0,0
