ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,129,-320,16396,236,0,0,0,0,0,0,0,0,0,0,0
1,129,-306,16276,368,0,0,0,0,0,0,0,0,0,0,0
2,129,-430,16288,386,0,0,0,0,0,0,0,0,0,0,0
3,129,-284,16284,150,0,0,0,0,0,0,0,0,0,0,0
4,129,-238,16426,238,0,0,0,0,0,0,0,0,0,0,0
5,129,-54,16410,194,0,0,0,0,0,0,0,0,0,0,0
6,129,10,16552,78,0,0,0,0,0,0,0,0,0,0,0
7,129,-12,16568,144,0,0,0,0,0,0,0,0,0,0,0
8,129,-94,16554,4,0,0,0,0,0,0,0,0,0,0,0
9,129,-236,16344,142,0,0,0,0,0,0,0,0,0,0,0
10,129,-272,16490,110,0,0,0,0,0,0,0,0,0,0,0
11,129,-232,16444,162,0,0,0,0,0,0,0,0,0,0,0
12,129,-92,16454,74,0,0,0,0,0,0,0,0,0,0,0
13,129,-154,16496,66,0,0,0,0,0,0,0,0,0,0,0
14,129,-64,16510,-4,0,0,0,0,0,0,0,0,0,0,0
15,129,-236,16462,176,0,0,0,0,0,0,0,0,0,0,0
16,129,-342,16492,122,0,0,0,0,0,0,0,0,0,0,0
17,129,-190,16556,154,0,0,0,0,0,0,0,0,0,0,0
18,129,-268,16416,182,0,0,0,0,0,0,0,0,0,0,0
19,129,-186,16566,134,0,0,0,0,0,0,0,0,0,0,0
20,129,-162,16412,188,0,0,0,0,0,0,0,0,0,0,0
21,129,-294,16332,60,0,0,0,0,0,0,0,0,0,0,0
22,129,-148,16440,230,0,0,0,0,0,0,0,0,0,0,0
23,129,-274,16398,206,0,0,0,0,0,0,0,0,0,0,0
24,129,-170,16458,218,0,0,0,0,0,0,0,0,0,0,0
25,129,-190,16474,268,0,0,0,0,0,0,0,0,0,0,0
26,129,-264,16428,340,0,0,0,0,0,0,0,0,0,0,0
27,129,-328,16318,522,0,0,0,0,0,0,0,0,0,0,0
28,129,-456,16228,198,0,0,0,0,0,0,0,0,0,0,0
29,129,-134,16728,332,0,0,0,0,0,0,0,0,0,0,0
30,129,-156,16610,370,0,0,0,0,0,0,0,0,0,0,0
31,129,-258,16594,638,0,0,0,0,0,0,0,0,0,0,0
32,129,-392,16414,700,0,0,0,0,0,0,0,0,0,0,0
33,129,-522,16418,256,0,0,0,0,0,0,0,0,0,0,0
34,129,-740,16224,804,0,0,0,0,0,0,0,0,0,0,0
35,129,-710,16386,-122,0,0,0,0,0,0,0,0,0,0,0
36,129,-8178,19248,-9968,0,0,0,0,0,0,0,0,0,0,0
37,129,-1608,15810,-1590,0,0,0,0,0,0,0,0,0,0,0
38,129,-612,17064,910,0,0,0,0,0,0,0,0,0,0,0
39,129,-50,16536,748,0,0,0,0,0,0,0,0,0,0,0
40,129,-930,16130,474,0,0,0,0,0,0,0,0,0,0,0
41,129,-678,16428,390,0,0,0,0,0,0,0,0,0,0,0
42,129,-632,16466,128,0,0,0,0,0,0,0,0,0,0,0
43,129,-704,16392,22,0,0,0,0,0,0,0,0,0,0,0
44,129,-762,16430,6,0,0,0,0,0,0,0,0,0,0,0
45,129,-766,16426,134,0,0,0,0,0,0,0,0,0,0,0
46,129,-726,16376,324,0,0,0,0,0,0,0,0,0,0,0
47,129,-762,16460,82,0,0,0,0,0,0,0,0,0,0,0
48,129,-756,16222,50,0,0,0,0,0,0,0,0,0,0,0
49,129,-530,16464,148,0,0,0,0,0,0,0,0,0,0,0
50,129,-528,16586,188,0,0,0,0,0,0,0,0,0,0,0
51,129,-40,16184,80,0,0,0,0,0,0,0,0,0,0,0
52,129,-684,16368,418,0,0,0,0,0,0,0,0,0,0,0
53,129,-874,16160,-370,0,0,0,0,0,0,0,0,0,0,0
54,129,-632,16582,402,0,0,0,0,0,0,0,0,0,0,0
55,129,-720,16440,262,0,0,0,0,0,0,0,0,0,0,0
56,129,-800,16244,154,0,0,0,0,0,0,0,0,0,0,0
57,129,-710,16352,276,0,0,0,0,0,0,0,0,0,0,0
58,129,-672,16366,260,0,0,0,0,0,0,0,0,0,0,0
59,129,-600,16402,82,0,0,0,0,0,0,0,0,0,0,0
60,129,-522,16402,308,0,0,0,0,0,0,0,0,0,0,0
61,129,-444,16462,-24,0,0,0,0,0,0,0,0,0,0,0
62,129,-352,16526,328,0,0,0,0,0,0,0,0,0,0,0
63,129,-412,16430,260,0,0,0,0,0,0,0,0,0,0,0
64,129,-472,16324,288,0,0,0,0,0,0,0,0,0,0,0
65,129,-362,16240,164,0,0,0,0,0,0,0,0,0,0,0
66,129,-98,16640,148,0,0,0,0,0,0,0,0,0,0,0
67,129,-58,16630,178,0,0,0,0,0,0,0,0,0,0,0
68,129,-138,16568,208,0,0,0,0,0,0,0,0,0,0,0
69,129,60,16476,106,0,0,0,0,0,0,0,0,0,0,0
70,129,-418,16340,170,0,0,0,0,0,0,0,0,0,0,0
71,129,-88,16638,378,0,0,0,0,0,0,0,0,0,0,0
72,129,-282,16426,128,0,0,0,0,0,0,0,0,0,0,0
73,129,232,16186,322,0,0,0,0,0,0,0,0,0,0,0
74,129,-12,16404,124,0,0,0,0,0,0,0,0,0,0,0
75,129,52,16584,40,0,0,0,0,0,0,0,0,0,0,0
76,129,194,16654,94,0,0,0,0,0,0,0,0,0,0,0
77,129,-34,16380,292,0,0,0,0,0,0,0,0,0,0,0
78,129,68,16658,-332,0,0,0,0,0,0,0,0,0,0,0
79,129,10,16400,176,0,0,0,0,0,0,0,0,0,0,0
80,129,-100,16484,-6,0,0,0,0,0,0,0,0,0,0,0
81,129,-78,16504,154,0,0,0,0,0,0,0,0,0,0,0
82,129,-150,16418,120,0,0,0,0,0,0,0,0,0,0,0
83,129,-174,16452,110,0,0,0,0,0,0,0,0,0,0,0
84,129,-5540,19684,1270,0,0,0,0,0,0,0,0,0,0,0
85,129,66,16364,114,0,0,0,0,0,0,0,0,0,0,0
86,129,-328,16668,148,0,0,0,0,0,0,0,0,0,0,0
87,129,-144,16320,340,0,0,0,0,0,0,0,0,0,0,0
88,129,-60,16462,156,0,0,0,0,0,0,0,0,0,0,0
89,129,-46,16540,16,0,0,0,0,0,0,0,0,0,0,0
90,129,8,16460,-46,0,0,0,0,0,0,0,0,0,0,0
91,129,122,16562,-2,0,0,0,0,0,0,0,0,0,0,0
92,129,168,16662,300,0,0,0,0,0,0,0,0,0,0,0
93,129,160,16552,276,0,0,0,0,0,0,0,0,0,0,0
94,129,-34,16370,274,0,0,0,0,0,0,0,0,0,0,0
95,129,40,16330,384,0,0,0,0,0,0,0,0,0,0,0
96,129,38,16388,342,0,0,0,0,0,0,0,0,0,0,0
97,129,80,16428,138,0,0,0,0,0,0,0,0,0,0,0
98,129,154,16368,238,0,0,0,0,0,0,0,0,0,0,0
99,129,98,16450,270,0,0,0,0,0,0,0,0,0,0,0
